ticker_a,ticker_b,pvalue,cointegrated
V,MA,0.0013269475435684825,True
AAPL,MSFT,0.02659635810115396,True
MSFT,AMD,0.03397908808958442,True
AAPL,AMD,0.03574576310218541,True
CVX,COP,0.04370686013655823,True
META,NVDA,0.060715497848042296,False
HD,LOW,0.09276145165681937,False
JNJ,ABBV,0.10146105629643515,False
GOOGL,AMD,0.14602418688582064,False
BAC,MS,0.24523479367377327,False
PG,CL,0.35024338953279366,False
WFC,GS,0.3518492627333234,False
VZ,T,0.3592047556332607,False
COST,LOW,0.36565079438575376,False
PEP,PG,0.36954883576182684,False
COST,HD,0.37168805326721144,False
BAC,GS,0.4037076309704604,False
META,AMD,0.40917566699020547,False
JPM,WFC,0.4982666667493755,False
BAC,WFC,0.5008268557935529,False
WFC,C,0.5065083460734388,False
C,GS,0.5352851932710864,False
XOM,CVX,0.5370779864597596,False
JPM,MS,0.5662186616396342,False
AAPL,META,0.5797696383155879,False
MRK,ABBV,0.5857923415807303,False
JPM,GS,0.5916284646910742,False
KO,PG,0.6000671979566817,False
GOOGL,NVDA,0.6103090447456772,False
MSFT,META,0.6534282055524696,False
PFE,ABBV,0.6683425331613733,False
PFE,MRK,0.6756509293136717,False
GS,MS,0.6784639736524228,False
AAPL,NVDA,0.6826150914879152,False
JPM,C,0.6973562754744257,False
PEP,CL,0.7388927833697688,False
KO,CL,0.7688247826598245,False
TGT,HD,0.7722800169528025,False
JPM,BAC,0.7786204694554371,False
WFC,MS,0.7824136376541215,False
BAC,C,0.8093241397710138,False
JNJ,MRK,0.8130032368220446,False
CVX,SLB,0.8313136704021149,False
C,MS,0.8343487158781848,False
TGT,COST,0.8393467861419002,False
TGT,LOW,0.8554779880870589,False
COP,SLB,0.8647384346337319,False
NVDA,AMD,0.8699129215655139,False
MSFT,NVDA,0.9035291556196202,False
XOM,COP,0.9343903688400855,False
KO,PEP,0.9392317121739108,False
AAPL,GOOGL,0.9440986879434443,False
GOOGL,META,0.9518257292672845,False
WMT,LOW,0.9771183213442802,False
WMT,HD,0.9829460944332793,False
MSFT,GOOGL,0.9887114054108644,False
XOM,SLB,0.991246589305468,False
WMT,COST,0.9920097947494487,False
JNJ,PFE,0.9927323270092949,False
WMT,TGT,1.0,False
